Country,State,ST,City,Longitude,Latitude,Store
USA,Indiana,IN,Fort Wayne,-85.1332896,41.199464999999996,Tim Hortons
USA,Indiana,IN,Fort Wayne,-85.1665685,41.1450222,Tim Hortons
USA,Indiana,IN,Fort Wayne,-85.1478554,41.1152844,Tim Hortons
USA,Indiana,IN,Fort Wayne,-85.12427269999999,41.1142118,Tim Hortons
USA,Indiana,IN,Fort Wayne,-85.0996081,41.1190561,Tim Hortons
USA,Indiana,IN,Fort Wayne,-85.21306059999999,41.0606672,Tim Hortons
USA,Indiana,IN,Fort Wayne,-85.24998169999999,41.0403358,Tim Hortons
USA,Indiana,IN,Fort Wayne,-85.16605220000001,41.1623629,Tim Hortons
USA,Indiana,IN,Indianapolis,-86.305804,39.763785,Tim Hortons
USA,Indiana,IN,Richmond,-84.90453749999999,39.8275616,Tim Hortons
USA,Indiana,IN,Roanoke,-85.30321099999999,40.9626996,Tim Hortons
USA,Kentucky,KY,Ashland,-82.6581549,38.46572760000001,Tim Hortons
USA,Kentucky,KY,Ashland,-82.627811,38.4723992,Tim Hortons
USA,Kentucky,KY,Erlanger,-84.593671,39.0194227,Tim Hortons
USA,Maine,ME,Bangor,-68.81165899999999,44.7902188,Tim Hortons
USA,Maine,ME,Bangor,-68.7762389,44.7910002,Tim Hortons
USA,Maine,ME,Bangor,-68.7778405,44.8212584,Tim Hortons
USA,Maine,ME,Brewer,-68.75124000000001,44.784748,Tim Hortons
USA,Maine,ME,Calais,-67.2858573,45.1813423,Tim Hortons
USA,Maine,ME,Caribou,-68.0040973,46.8683741,Tim Hortons
USA,Maine,ME,Clinton,-69.52522859999999,44.639479,Tim Hortons
USA,Maine,ME,Houlton,-67.8410463,46.1450097,Tim Hortons
USA,Maine,ME,Lincoln,-68.5221569,45.359146,Tim Hortons
USA,Maine,ME,Madawaska,-68.3134584,47.35421729999999,Tim Hortons
USA,Maine,ME,Newport,-69.2845761,44.83816299999999,Tim Hortons
USA,Maine,ME,Old Town,-68.6833453,44.9158755,Tim Hortons
USA,Maine,ME,Presque Isle,-68.01198839999999,46.69740729999999,Tim Hortons
USA,Michigan,MI,Adrian,-84.0429066,41.8887671,Tim Hortons
USA,Michigan,MI,Allendale,-85.9139629,42.9718375,Tim Hortons
USA,Michigan,MI,Alma,-84.6661177,43.402282,Tim Hortons
USA,Michigan,MI,Ann Arbor,-83.7410082,42.2675741,Tim Hortons
USA,Michigan,MI,Ann Arbor,-83.7484659,42.2660981,Tim Hortons
USA,Michigan,MI,Ann Arbor,-83.7599164,42.2478426,Tim Hortons
USA,Michigan,MI,Ann Arbor,-83.7336207,42.2146992,Tim Hortons
USA,Michigan,MI,Auburn Hills,-83.2448295,42.6588114,Tim Hortons
USA,Michigan,MI,Auburn Hills,-83.306778,42.706056,Tim Hortons
USA,Michigan,MI,Bay City,-83.9147605,43.623339,Tim Hortons
USA,Michigan,MI,Belleville,-83.4399452,42.22315589999999,Tim Hortons
USA,Michigan,MI,Belleville,-83.54305269999999,42.2151259,Tim Hortons
USA,Michigan,MI,Birmingham,-83.219638,42.554054,Tim Hortons
USA,Michigan,MI,Bloomfield,-83.28451009999999,42.5452119,Tim Hortons
USA,Michigan,MI,Bloomfield Hills,-83.2616608,42.603204,Tim Hortons
USA,Michigan,MI,Brighton,-83.7806624,42.5311138,Tim Hortons
USA,Michigan,MI,Brooklyn,-84.2482291,42.10509769999999,Tim Hortons
USA,Michigan,MI,Brownstown,-83.238148,42.0953189,Tim Hortons
USA,Michigan,MI,Burton,-83.68478619999999,42.973569,Tim Hortons
USA,Michigan,MI,Burton,-83.6340719,43.0191335,Tim Hortons
USA,Michigan,MI,Cadillac,-85.3770777,44.2524728,Tim Hortons
USA,Michigan,MI,Canton,-83.44772300000001,42.3234844,Tim Hortons
USA,Michigan,MI,Canton,-83.4845412,42.3214516,Tim Hortons
USA,Michigan,MI,Canton,-83.48823279999999,42.2709053,Tim Hortons
USA,Michigan,MI,Charter Twp Of Clinton,-82.87056,42.5561421,Tim Hortons
USA,Michigan,MI,Chesterfield,-82.7693493,42.6763033,Tim Hortons
USA,Michigan,MI,Chesterfield,-82.8302756,42.6792647,Tim Hortons
USA,Michigan,MI,Clarkston,-83.3772311,42.71962449999999,Tim Hortons
USA,Michigan,MI,Clarkston,-83.3802374,42.7492071,Tim Hortons
USA,Michigan,MI,Clawson,-83.1646717,42.5336294,Tim Hortons
USA,Michigan,MI,Clinton,-82.9526779,42.5839724,Tim Hortons
USA,Michigan,MI,Clinton Township,-82.8840192,42.583125,Tim Hortons
USA,Michigan,MI,Clinton Township,-82.9034995,42.62810169999999,Tim Hortons
USA,Michigan,MI,Clinton Township,-82.87760589999999,42.6306045,Tim Hortons
USA,Michigan,MI,Clinton Township,-82.92799149999999,42.5493463,Tim Hortons
USA,Michigan,MI,Clinton Township,-82.9011323,42.5928343,Tim Hortons
USA,Michigan,MI,Clio,-83.7595425,43.1779574,Tim Hortons
USA,Michigan,MI,Commerce,-83.439703,42.5572492,Tim Hortons
USA,Michigan,MI,Davison,-83.5182234,43.0182264,Tim Hortons
USA,Michigan,MI,Dearborn,-83.1576919,42.3441148,Tim Hortons
USA,Michigan,MI,Dearborn,-83.15918409999999,42.3294269,Tim Hortons
USA,Michigan,MI,Dearborn,-83.177126,42.3244276,Tim Hortons
USA,Michigan,MI,Dearborn,-83.23692470000002,42.3074814,Tim Hortons
USA,Michigan,MI,Dearborn,-83.26860099999999,42.3008986,Tim Hortons
USA,Michigan,MI,Dearborn,-83.281309,42.32646829999999,Tim Hortons
USA,Michigan,MI,Dearborn,-83.2811627,42.2987429,Tim Hortons
USA,Michigan,MI,Dearborn,-83.18840229999999,42.3086705,Tim Hortons
USA,Michigan,MI,Dearborn,-83.2702733,42.2803782,Tim Hortons
USA,Michigan,MI,Dearborn Heights,-83.31043000000001,42.3120291,Tim Hortons
USA,Michigan,MI,Dearborn Heights,-83.2740299,42.34177469999999,Tim Hortons
USA,Michigan,MI,Detroit,-83.0006543,42.4009604,Tim Hortons
USA,Michigan,MI,Detroit,-83.1594144,42.4032331,Tim Hortons
USA,Michigan,MI,Detroit,-83.0451995,42.339924,Tim Hortons
USA,Michigan,MI,Detroit,-83.055099,42.340099,Tim Hortons
USA,Michigan,MI,Detroit,-83.055099,42.340099,Tim Hortons
USA,Michigan,MI,Detroit,-83.0416841,42.3305356,Tim Hortons
USA,Michigan,MI,Detroit,-83.0749012,42.3677613,Tim Hortons
USA,Michigan,MI,Detroit,-83.0661709,42.35546009999999,Tim Hortons
USA,Michigan,MI,Detroit,-83.0467118,42.3327477,Tim Hortons
USA,Michigan,MI,Detroit,-83.0554329,42.341078,Tim Hortons
USA,Michigan,MI,Detroit,-83.0017227,42.3476077,Tim Hortons
USA,Michigan,MI,Dewitt,-84.543719,42.8290173,Tim Hortons
USA,Michigan,MI,Dundee,-83.6764374,41.96047600000001,Tim Hortons
USA,Michigan,MI,East Lansing,-84.4942615,42.72012,Tim Hortons
USA,Michigan,MI,East Lansing,-84.46580589999999,42.7327727,Tim Hortons
USA,Michigan,MI,East Lansing,-84.484011,42.7706855,Tim Hortons
USA,Michigan,MI,East Tawas,-83.4995388,44.2775993,Tim Hortons
USA,Michigan,MI,Eastpointe,-82.9440429,42.4646134,Tim Hortons
USA,Michigan,MI,Essexville,-83.8466937,43.5944265,Tim Hortons
USA,Michigan,MI,Farmington Hills,-83.37720039999999,42.4991573,Tim Hortons
USA,Michigan,MI,Farmington Hills,-83.42378839999999,42.4687108,Tim Hortons
USA,Michigan,MI,Fenton,-83.736224000000007,42.790124,Tim Hortons
USA,Michigan,MI,Fenton,-83.707833,42.79829549999999,Tim Hortons
USA,Michigan,MI,Ferndale,-83.1311831,42.4564995,Tim Hortons
USA,Michigan,MI,Flat Rock,-83.2849454,42.108502,Tim Hortons
USA,Michigan,MI,Flint,-83.77323109999999,43.0029714,Tim Hortons
USA,Michigan,MI,Flint,-83.7281943,42.943533,Tim Hortons
USA,Michigan,MI,Flint,-83.7668437,43.0600866,Tim Hortons
USA,Michigan,MI,Flint,-83.6926132,42.9437631,Tim Hortons
USA,Michigan,MI,Frankenmuth,-83.7386318,43.3364676,Tim Hortons
USA,Michigan,MI,Fraser,-82.9638288,42.5527372,Tim Hortons
USA,Michigan,MI,Garden City,-83.3386728,42.3250303,Tim Hortons
USA,Michigan,MI,Gaylord,-84.69496190000001,45.0270486,Tim Hortons
USA,Michigan,MI,Grand Blanc,-83.632245,42.9290309,Tim Hortons
USA,Michigan,MI,Grand Haven,-86.2203917,43.0556533,Tim Hortons
USA,Michigan,MI,Grand Ledge,-84.7373717,42.7403701,Tim Hortons
USA,Michigan,MI,Grand Rapids,-85.6279631,43.0317605,Tim Hortons
USA,Michigan,MI,Grand Rapids,-85.69033089999999,42.9633519,Tim Hortons
USA,Michigan,MI,Grandville,-85.76182969999999,42.85460279999999,Tim Hortons
USA,Michigan,MI,Greenville,-85.286546,43.17662989999999,Tim Hortons
USA,Michigan,MI,Harper Woods,-82.9297144,42.4496001,Tim Hortons
USA,Michigan,MI,Hartland,-83.74081040000002,42.6352009,Tim Hortons
USA,Michigan,MI,Hazel Park,-83.08481859999999,42.4477258,Tim Hortons
USA,Michigan,MI,Hazel Park,-83.1049294,42.4609647,Tim Hortons
USA,Michigan,MI,Highland Park,-83.1012234,42.4096156,Tim Hortons
USA,Michigan,MI,Holland,-86.1143855,42.8054011,Tim Hortons
USA,Michigan,MI,Holland,-86.07713210000001,42.7987983,Tim Hortons
USA,Michigan,MI,Holland,-86.1164471,42.7671308,Tim Hortons
USA,Michigan,MI,Holt,-84.52699059999999,42.6504533,Tim Hortons
USA,Michigan,MI,Howell,-83.8753038,42.6264531,Tim Hortons
USA,Michigan,MI,Howell,-83.88120529999999,42.5789041,Tim Hortons
USA,Michigan,MI,Imlay City,-83.0723273,43.0079149,Tim Hortons
USA,Michigan,MI,Jackson,-84.43492309999999,42.2470983,Tim Hortons
USA,Michigan,MI,Kalamazoo,-85.64322609999999,42.2966346,Tim Hortons
USA,Michigan,MI,Kentwood,-85.6266041,42.883444,Tim Hortons
USA,Michigan,MI,Lake Orion,-83.2396852,42.772129,Tim Hortons
USA,Michigan,MI,Lambertville,-83.6261852,41.7486509,Tim Hortons
